12,12,12,12,12,12,12,12,12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12
12,12,16,23,23,23,23,23,23,24,-1,-1,-1,-1,22,23,23,23,23,23,23,17,12,12
12,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,36,36,36,-1,-1,-1,-1,36,36,36,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,-1,-1,36,36,36,36,36,36,36,36,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,11,12,12
12,12,13,-1,-1,-1,36,36,36,36,36,36,36,36,36,-1,-1,36,-1,-1,-1,11,12,12
23,23,24,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,22,23,23
-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,36,36,36,36,-1,-1,-1,-1,36,36,36,36,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1
12,12,12,12,12,12,12,12,12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12
