12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12
17,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12
28,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,27,28,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,16,17
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,27,28
12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,16,17,12,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,16,17,12,12,12,12,16,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,16,23,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,16,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,16,17,12,12,12,12,16,17,12,12,12,12,27,28,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12
17,12,12,12,12,12,12,12,12,16,17,12,27,28,12,12,12,16,17,12,12,12,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,27,28,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,17,12,12,12,12,12,12,12,12,12,12,12
28,12,12,12,12,16,17,12,12,27,28,12,12,12,12,12,12,27,28,12,12,16,23,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,27,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,2,-1,-1,-1,11,12,16,17,12,12,12,16,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,17,12,12,12,12,12
