12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,16,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,17,12,12
12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,23,23
12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,13,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,13,-1,-1,-1,-1,11,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12
12,13,-1,-1,-1,-1,11,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12
12,13,-1,-1,-1,-1,11,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12
12,13,-1,-1,-1,-1,11,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12
12,13,-1,-1,-1,-1,11,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12,16,17,12,12,12,12
12,13,-1,-1,-1,-1,11,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12,27,28,12,12,12,12
12,13,-1,-1,-1,-1,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
